,댓글,작성자,작성시간
407,접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다접힌일기해주심 후원갑니다,코코볼,1:08
408,상수야,One Day More,1:08
409,ㅂㅅ,ㅇㅅ,1:08
410,힙합,후다닥이,1:09
411,술먹고 미치광이가 되서 테이저건에 맞은거임,고정완,1:09
412,제목 ㅈㄴ 웃긴,드랍더비트,1:09
413,현,ABC,1:09
414,응아니야 응아니야 응아니야 응아니야 응아니야 응아니야 응아니야 응아니야 응아니야 응아니야 응아니야 응아니야 응아니야 응아니야 응아니야 응아니야 응아니야,옵치 고수,1:09
415,상수야 설치지마라,이동규,1:09
416,테이저건썰은 못참지ㅋㅋ,Kenneth Lee,1:10
417,그냥 숭먹지릉 말아야지,ㅎㅎ,1:10
418,방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송 꺼라 방송 꺼라 방 송 꺼 라 ,츄파피,1:10
419,상수야 홍대 지나다니지말아라,동현 이,1:10
420,안녕하다고,라러러,1:10
421,상수야 방송꺼아,월월,1:10
422,방송꺼라,진영,1:10
423,방상끄라고,성규형님오른팔,1:10
424,어쩌라고,고라니,1:11
425,근데 오 반말하냐,곰돌우니,1:11
426,반갑소 상수,멸치파조직원,1:11
427,ㅎㅇ,고니,1:11
428,방송꺼라,오이,1:11
429,장상수 뒤진다,홍민소영,1:11
430,마 마스크 안 끼나,qpal,1:11
431,정상수 개씨발럼아,오승원,1:11
432,상수야,라러러,1:12
433,상수야 다이깨자,케파종신,1:12
434,털난 타조알 ㅋㅋㅋㅋㅋ,진두,1:12
435,노,ABC,1:12
436,상수야 홍대 지나다니지말아라,동현 이,1:12
